unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1696269600,2023-10-02 18:00:00,SAND/USD,0.31021,0.31021,0.30421,0.30421,4328.96606654,1316.9147671021333
1696266000,2023-10-02 17:00:00,SAND/USD,0.31152,0.31152,0.31152,0.31152,0.00000000,0.0
1696262400,2023-10-02 16:00:00,SAND/USD,0.31152,0.31152,0.31152,0.31152,0.00000000,0.0
1696258800,2023-10-02 15:00:00,SAND/USD,0.31451,0.31451,0.31152,0.31152,5456.14716443,1699.6989646632337
1696255200,2023-10-02 14:00:00,SAND/USD,0.31630,0.31630,0.31630,0.31630,1015.06714211,321.065737049393
1696251600,2023-10-02 13:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696248000,2023-10-02 12:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696244400,2023-10-02 11:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696240800,2023-10-02 10:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696237200,2023-10-02 09:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696233600,2023-10-02 08:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696230000,2023-10-02 07:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696226400,2023-10-02 06:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696222800,2023-10-02 05:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696219200,2023-10-02 04:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696215600,2023-10-02 03:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696212000,2023-10-02 02:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,0.00000000,0.0
1696208400,2023-10-02 01:00:00,SAND/USD,0.32130,0.32130,0.32130,0.32130,1492.29691876,479.47499999758793
1696204800,2023-10-02 00:00:00,SAND/USD,0.32120,0.32120,0.32120,0.32120,1546.28195021,496.665762407452
1696201200,2023-10-01 23:00:00,SAND/USD,0.32268,0.32268,0.32268,0.32268,0.00000000,0.0
1696197600,2023-10-01 22:00:00,SAND/USD,0.32268,0.32268,0.32268,0.32268,1002.30823976,323.42482280575683
1696194000,2023-10-01 21:00:00,SAND/USD,0.31670,0.31670,0.31670,0.31670,3144.98244395,996.0159399989649
1696190400,2023-10-01 20:00:00,SAND/USD,0.31410,0.31410,0.31410,0.31410,0.00000000,0.0
1696186800,2023-10-01 19:00:00,SAND/USD,0.31410,0.31410,0.31410,0.31410,0.00000000,0.0
1696183200,2023-10-01 18:00:00,SAND/USD,0.31410,0.31410,0.31410,0.31410,0.00000000,0.0
1696179600,2023-10-01 17:00:00,SAND/USD,0.31410,0.31410,0.31410,0.31410,266.11161213,83.585657370033
1696176000,2023-10-01 16:00:00,SAND/USD,0.31656,0.31656,0.31656,0.31656,0.00000000,0.0
1696172400,2023-10-01 15:00:00,SAND/USD,0.31656,0.31656,0.31656,0.31656,0.00000000,0.0
1696168800,2023-10-01 14:00:00,SAND/USD,0.31656,0.31656,0.31656,0.31656,0.00000000,0.0
1696165200,2023-10-01 13:00:00,SAND/USD,0.31656,0.31656,0.31656,0.31656,73.56488508,23.2877000209248
1696161600,2023-10-01 12:00:00,SAND/USD,0.31789,0.31789,0.31680,0.31680,809.76151271,256.532447226528
1696158000,2023-10-01 11:00:00,SAND/USD,0.31900,0.31900,0.31900,0.31900,0.00000000,0.0
1696154400,2023-10-01 10:00:00,SAND/USD,0.31680,0.31900,0.31680,0.31900,211.56488508,67.48919834052
1696150800,2023-10-01 09:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
1696147200,2023-10-01 08:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,73.56488508,23.13615635766
1696143600,2023-10-01 07:00:00,SAND/USD,0.31490,0.31490,0.31490,0.31490,0.00000000,0.0
1696140000,2023-10-01 06:00:00,SAND/USD,0.31490,0.31490,0.31490,0.31490,73.56488508,23.165582311692
1696136400,2023-10-01 05:00:00,SAND/USD,0.31400,0.31400,0.31400,0.31400,0.00000000,0.0
1696132800,2023-10-01 04:00:00,SAND/USD,0.31360,0.31400,0.31360,0.31400,1966.34230854,617.43148488156
1696129200,2023-10-01 03:00:00,SAND/USD,0.31340,0.31340,0.31340,0.31340,73.56488508,23.055234984072
